issue_category,issue_subcategory,question,answer,resolution_steps,automation_possible,estimated_resolution_time,required_team,risk_level,policy_reference,escalation_required
Billing,Invoice Dispute,Billing issue: Invoice Dispute?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,30,Tier3-Engineering,Low,POL-478,No
Software,Installation,Software issue: Installation?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Billing-Team,Low,POL-479,No
Network,Connectivity,Network issue: Connectivity?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,10080,Billing-Team,Critical,POL-480,No
Network,DNS Resolution,Network issue: DNS Resolution?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,240,Billing-Team,Critical,POL-481,Yes
Delivery,Address Issue,Delivery issue: Address Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,120,Tier2-Technical,High,POL-482,Yes
Security,MFA Setup,Security issue: MFA Setup?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier2-Technical,Medium,POL-483,No
Product Defect,Malfunction,Product Defect issue: Malfunction?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Tier1-Support,Critical,POL-484,Yes
Delivery,Tracking,Delivery issue: Tracking?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier2-Technical,Critical,POL-485,No
Infrastructure,Database Issue,Infrastructure issue: Database Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,480,Tier3-Engineering,Medium,POL-486,No
API Failure,Error Response,API Failure issue: Error Response?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,480,Tier3-Engineering,Medium,POL-487,No
Hardware,Repair,Hardware issue: Repair?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Tier1-Support,Low,POL-488,No
Hardware,Replacement,Hardware issue: Replacement?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Tier3-Engineering,Low,POL-489,No
Security,Account Breach,Security issue: Account Breach?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,30,Tier2-Technical,Low,POL-490,No
Hardware,Device Failure,Hardware issue: Device Failure?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,10080,Tier3-Engineering,Critical,POL-491,Yes
Infrastructure,Storage,Infrastructure issue: Storage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Billing-Team,Medium,POL-492,No
Hardware,Repair,Hardware issue: Repair?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Tier2-Technical,High,POL-493,No
Network,DNS Resolution,Network issue: DNS Resolution?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Tier3-Engineering,Critical,POL-494,Yes
API Failure,Timeout,API Failure issue: Timeout?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,1440,Tier3-Engineering,High,POL-495,Yes
Cloud Service,Service Unavailable,Cloud Service issue: Service Unavailable?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,240,Tier2-Technical,Low,POL-496,Yes
Delivery,Tracking,Delivery issue: Tracking?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier3-Engineering,High,POL-497,Yes
Refund Request,Replacement,Refund Request issue: Replacement?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,60,Billing-Team,Critical,POL-498,No
API Failure,Timeout,API Failure issue: Timeout?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Tier3-Engineering,Medium,POL-499,No
Delivery,Address Issue,Delivery issue: Address Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Tier2-Technical,Medium,POL-500,No
